Timestamp,Status,Score,Name,Proof,Tank,Game Mode,Special Submission,Enter Extra Details (Like What Secondary Record You Are Submitting For Or Your Discord Tag like Road#6943):,,,
Tue Aug 16 2022 03:44:48 GMT-0400 (Eastern Daylight Time),x,2098510,Xenom,https://imgur.com/a/m7Xr9Vz,Manager,2TDM,Highest Arras Scores,Xenom#6741,,,
Tue Aug 16 2022 03:47:49 GMT-0400 (Eastern Daylight Time),x,1010448,Xenom,https://imgur.com/a/8CjP6t2,Banshee,FFA,Highest Arras Scores,Xenom#6741,,,
Tue Aug 16 2022 05:27:06 GMT-0400 (Eastern Daylight Time),x,573437,Xenom,https://imgur.com/a/76HgLXx,Manager,Maze,Highest Arras Scores,Xenom#6741,,,
Tue Aug 16 2022 06:04:30 GMT-0400 (Eastern Daylight Time),v,995270,[LK],https://imgur.com/a/s4fCOFo,Manager,Maze,,,,,
Tue Aug 16 2022 06:13:33 GMT-0400 (Eastern Daylight Time),v,7509968,baking soda,https://imgur.com/gallery/hunLjTC,Streamliner,Squads-Duos,Highest Arras Scores,,,,
Tue Aug 16 2022 07:35:15 GMT-0400 (Eastern Daylight Time),x,1340340,me(duh),https://imgur.com/YD3ZoS3,Overlord,4TDM,,wr pls dullllllllllll:vvv,,,
Tue Aug 16 2022 13:55:09 GMT-0400 (Eastern Daylight Time),v,914307,Buddy_Dog,https://imgur.com/gallery/kGf7kkr,Overseer,FFA,,Buddy_Dog#1441,,,
Tue Aug 16 2022 17:29:56 GMT-0400 (Eastern Daylight Time),v,1053906,JasonSycier,https://imgur.com/a/z9ByBBS,Banshee,Maze,,,,,
Tue Aug 16 2022 19:21:18 GMT-0400 (Eastern Daylight Time),v,2604723,DinhTung,https://imgur.com/a/uWHFDhD,Smasher,2TDM,Highest Arras Scores,,,,
Tue Aug 16 2022 19:31:45 GMT-0400 (Eastern Daylight Time),v,1510345,🌷|retnuH,https://imgur.com/gallery/nMr5GYz,Overlord,4TDM,,Giga Chad#3189,,,
